,,
2015,재방문율(%),46.1
2016,재방문율(%),38.6
2017,재방문율(%),53.3
2018,재방문율(%),57.8
2019,재방문율(%),58.3
2020,재방문율(%),77.7
2021,재방문율(%),64.7
2015,체재기간(일),6.6
2016,체재기간(일),6.4
2017,체재기간(일),7
2018,체재기간(일),7.2
2019,체재기간(일),6.7
2020,체재기간(일),30
2021,체재기간(일),24.9
2015,1인 평균지출경비(US$),1712.5
2016,1인 평균지출경비(US$),1625.3
2017,1인 평균지출경비(US$),1481.6
2018,1인 평균지출경비(US$),1342.4
2019,1인 평균지출경비(US$),1239.2
2020,1인 평균지출경비(US$),3884.9
2021,1인 평균지출경비(US$),4217
2015,1일 평균지출경비(US$),328.1
2016,1일 평균지출경비(US$),318.4
2017,1일 평균지출경비(US$),270.4
2018,1일 평균지출경비(US$),254.8
2019,1일 평균지출경비(US$),245.4
2020,1일 평균지출경비(US$),166.5
2021,1일 평균지출경비(US$),264.4
2015,전반적 만족도(긍정 응답 비율_ %),93.5
2016,전반적 만족도(긍정 응답 비율_ %),95
2017,전반적 만족도(긍정 응답 비율_ %),94.8
2018,전반적 만족도(긍정 응답 비율_ %),93.1
2019,전반적 만족도(긍정 응답 비율_ %),93.4
2020,전반적 만족도(긍정 응답 비율_ %),90
2021,전반적 만족도(긍정 응답 비율_ %),92.7
2015,관광목적 재방문 의향(긍정 응답 비율_ %),85.6
2016,관광목적 재방문 의향(긍정 응답 비율_ %),84.1
2017,관광목적 재방문 의향(긍정 응답 비율_ %),85.7
2018,관광목적 재방문 의향(긍정 응답 비율_ %),84.4
2019,관광목적 재방문 의향(긍정 응답 비율_ %),84.7
2020,관광목적 재방문 의향(긍정 응답 비율_ %),77.2
2021,관광목적 재방문 의향(긍정 응답 비율_ %),88.3
2015,타인추천의향(긍정 응답 비율_ %),90.3
2016,타인추천의향(긍정 응답 비율_ %),88.9
2017,타인추천의향(긍정 응답 비율_ %),90
2018,타인추천의향(긍정 응답 비율_ %),88
2019,타인추천의향(긍정 응답 비율_ %),88.3
2020,타인추천의향(긍정 응답 비율_ %),88.3
2021,타인추천의향(긍정 응답 비율_ %),93.1
